Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a54efe3e4eb99ec0645de5388a342446489fe6c08b2a54cfc3fe948b297812c8,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
69152fb27de79a29327250a5aaac6ec3d639b6f40290d2b9963ffb8c61d12b8c,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
2231ff806a6b66648a6f7f5b33ffd00f85ec7aacb682fc837b650a8c654bfe00,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e6b4ecbc55a193043de43e464e0e03764bdf5f8ea0206218e7da41cfe19860a3,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
0730539742e315457e95bd4a9a758a326b8d0fd320c3b8af8775a9084b600b30,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
2a550c68dbd38db1822cb753d94556f649a3913ec1693fe208febf1ec50d2ddc,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
942c72d01347c01bf489a0db691a2c9e6620c2786d18c79215ab2ce1dfe44999,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
441ea531d85d88cef0c77fc5de3888d88ef20558b4980469bcf6faf117e34804,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
e03fd28e96df94e19ef0ad2e3661e25fab4320682c0d9a11b795c269049b8c3a,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
5964c8f75aa29c6673ae056d0e0bd5f0e5c98be6e1b976869e79976959de30fb,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
c1357a956059622f9ec4ab0af27e372342fbbf80ec644837fea6e19f0db23196,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
96f4c0e86c995144fd12f2d27a063d7c4f5f7c95475c4d600eea0d6b65e8f8d9,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b8f730bd88dd66900f3b7018cb51193187e645098cdb18e2c5956cfb9c2949dd,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,-3.536817,50.724277,On or near DINHAM ROAD,E01020018,Exeter 008E,Suspect charged
ad172c12d697b855236afe700caf7c5b80ac92c6f09f37662ceab35f2a212050,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
43fb70e05db2c9c021931cd7d14bef1a6f5f2422518ecb518f7d4a0b179be388,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
96a7b7c2a3aba41911cf8d73041dfaf122df9020b0a93dc62242c52d0daecb35,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0919161bfda6136cc345158724d9ace7627d7097f2e4d0dec95f38dce8359da7,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
bf992ce8ef07e802a8951568bec9d0e19d1900baa526bfdcd9ab312f6234e95e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
695cba3e849cb7f6b56f8752654c88e53ca7c059d2e1c19371515e94588a4159,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
e63549bd7ca6a10ee75edea8412dff69e2ee0be6429d4096461d1d1fa46d1f09,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,-4.152919,50.371127,On or near ALICE STREET,E01015155,Plymouth 029C,Unable to prosecute suspect
0b55f256cd5847844d98736d290cd338bf9dd1d05d85c54bd99603750f68a2b5,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
896fad5fbdb093422f4756aa83da391e20b816b01960211b21ab9e1a6121db18,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
19d2a0dc6e445fea99b72932ee38643f0d0257983873332295b2ad9099e77f93,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
287f7e04a4b61f59851e8b6a7259f956be8b8192aa59a354428465e1feefa47e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,-4.178050,50.403965,On or near WESTON MILL ROAD,E01015143,Plymouth 009C,Suspect charged
058619070e67c3df8b9fa6df1a07c3fdafecf5dd73d4e514536eb57a04470691,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
d9ff1202e6b31573cb02a8b49a2cf0932741a78b09a33633b3bc8308ced376dc,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
68c816104776660007113de48d2008500da9b4ff1b5af346a79112f8da9aafa8,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
03659338c8aee2261d1b0c61f63c16b1ac8c5b02a7a61773cfb5319b8cbdff5f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
9f32c2608913fbe22ce9e751f91ec03736a3dcbb7cee57f228baea0c75ddd133,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
9c8ae2c872f3b2c783bc017eb1615e35eec5f9b6da6b35e787934877ac1d2fee,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
f590a13f709ca658a69a48fadb4ccf7fa0bc8e63dc61f2d2cfce38d27537ba9f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
fe9f21d4d655ae1f975552cd736796912cbfa5391a335cfb7a64e6b910b012ec,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
720609e4b697fc29b3fd0cc913f280a1cbe862b655540ce323b77caf7397b989,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8fa9192e58fc1af40997d057e9893051c3ababbf9f2d24eb0db377de167ec5ce,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
a7dd5493a9ba80f8ee8cd2322c74328654993cb850e4d44293b9f5d60279fcb4,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
4d79adb47d9b114ccc62b1e5b03dc64d810b500f0e1bf71cd7c73facca5221d9,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
202701e29cc562b70a2d1d05bed515266ba1e52de981481fda4423d72549e726,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
21e930216059b7ec0a477c23f45d9eda102e31dc0ababb620754036e93053bd8,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
1b314da0c8fd6d03742494929599d81225cd0dab371c1a52a9c7dba5b95e95a1,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
00702006ada748feda96cc0b0761e285535337fe2ae6358407f6d1ea9a01302f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4041b12ac6654c0d15d13ef58d650e74449c5ea23503d21db08b1437983d92bb,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
f86cf90253d1f6f8bcdec5dc100197c2805f6c042e1a3b948b564303194d4772,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
f1e0a4fef272637e8791d514f0313405fe207f47633dc453c6c2e96843c7f977,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
3985fb8e101fbbd30684e20c1d7ff4855a269e8459e7d5cfbd7acba9a324fb98,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
1c742cdc0f158c43929fde35a55833dc2fba836c4e3f470ecce136ec0d3ca5fa,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
f7eb4970b6464c8f22fbe334f7cfc4954f5dc865bd466e174910b1a6cf3766b3,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
1e7088f1b6eee678f458faad629ea03b984985a6c23c756b86b3459881c35ba4,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
248869716b7190724155deb4607874c11b8c3c973c662d437e7e83f2610a4f73,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
09c3ca7f1382eff98c3c7c8f6d41f1d326b0c889c163411567a5b100d9891b00,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
98d1d4ea22f2e7ceee2bbded160217b751dba20ba13b62b0eb36f7814a1e1b12,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,-3.542326,50.718584,On or near OAKFIELD ROAD,E01020030,Exeter 010C,Unable to prosecute suspect
2918ecacf40c5f77bd9896df5443e77946ddf62771bf931074d6c583a5535cd0,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
554d6927c9dca85700c83bdde75f0565ed10a3b6bf63fd3a76b247616f0efcf5,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
b4bf52f7bf174f283623d4f9bc0b4b136541fed74ac9ecf9ed84e3f9d05f4c95,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4898d3ea3a8f2a893240b3b95dc4d62c85aa498ca2ef9989ac7e46a3667332da,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
f6686531104e9ab147b088baf3210b457795b97d4898fa221a46a7ebd7e12fcd,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
8a48232b608fd2c2c716b179052224ac9f51345db8c7c8c22207082b2c6662fb,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
a569546c26a8d50abc6a8fb06fd5e4320b0b9b4d8947bf146e70b837895d4ed4,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
7b6aca3736984916787862ec9e927c76777922e4d2284b4529fe695aee292b40,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
dae7103d8a8fe7de445a52d9242c4873b4085e0769383cedbee4387c36716c3f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
6a9fc16702e9a751c35f064ab61f2d9bd8a8ce4e68a6775ae843423b29c8b366,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
50fb6246d03c87fc6f11cde95cb21f5fc67dd2a692c9ff155e022a7f51a0c9e1,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
16424c27778ebbbb38ab666f733c8e8649860ae34af57bd7a761eca4d420d323,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a6b38de0db101a6526dfe730c715cad6131569a887d6f689c6c56f63f6d156e3,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
3cbb105cda095fa08b2918edf495179b7da74111b02221ba9cd1f02f7eed5067,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
628194375e6020f85aefc34c7c26bf2c9aab83810f769ca09eae3961b6e42fbd,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
697af8a990526d621ca4ff4104934cf0f2caa2477a63ace802cd431ebd9ee2f1,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
33f657f3c8f0ce23c6da2921bc9c1973a46fc5473f088fb5b32f1b04e7320679,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ae957a9c1166b435d318299a3fc68fc6af6a3b2e01269c8cc5b89564b7cff6de,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
bf207961a92a7731e8aba3100825f8919db4b13498e6c1f5885bbbf5ca70f6ef,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
3ff8ea0100e6ec31c4c643ed0ce2d6f89627b14c6430467316e41e7d1105b670,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
1a0df32c63457fb1345c717b5bb096965d259b551a184a48166260596f17997f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8181064e803140074fca44331c5aa4b4eeb9cc33c79c34686790aa5241fb32ba,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
94c6ca0092b6390dd4116ee7355ffab8000856d33ccf6a9d0652c1842053fafe,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
8554bd3d3b3d9563b6f39abe9f4f782181ad0dfb8ba4b0f377a090b79dd17d57,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
479a20c9ffe6dfd551528010c70fbe98478129df407516468707ee0026eec597,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
ad74dce441721382115749480b7a70ec49a422322b67f7a5ca537fee7167d80e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a0788bf355a0c085655c36e021d1cc2f4cfb0d22364f2854fe7565320b070836,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
c7977ee2036963385ad284737d96fb5c5458afaf38adf8cad75dc7ab981525de,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
258eaf76d6252902f6245605ebd07fb4a9751d1cabb9fdda91ea60fcbe0607bc,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
ff7fbfdb8bfbd58152ae51bcd55e623a0d775362f7885811a28205f712f5a118,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ca496136643515ca0b9cd12ee41b48f21aae6aa5b3fe3d8ba56d35dcf29fbb41,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,-5.283031,50.214153,On or near LAITY DRIVE,E01018869,Cornwall 055A,Investigation complete; no suspect identified
c6626febbd85f6f93e31bb9e7d1faa1d8c2b2a0d7b91819b43cd54c9a7a6fedd,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
4cef499054f940758a5d2d938eb1217b0ba753f0d8c348259d63e81899e8cc6c,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
8e8dd57ffb0a92da99074d259461be87b2d9468d28184da1dc99fb72f51c0f11,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
6ee5f8008ccf0e8858a156c6c5c033a32a4b379a2db9369e66f700ea25a24635,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
bd3efc966e5180138fc350be88c8d235583391d54d6777cabac8dea06cd1cd84,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
56b2ae7b5387bbd500e76a4fb4e3628199f7843b4cd7dbb77ec72a7ee5521fd8,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
c225b5ee656016f14c54de871b16f53611c39cb254293fcd05546a14c05cfc2b,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
0dcfe9395b3b23191502030033293a7e3c4c8f67a623b0664a109a93b6de5012,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
f085d7786c184ac5393c757b7dc32fab21d62c92c3e21109371ca32c92b8bd9b,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a0e2c7d0fbfd4f47642cb46bfc855ae1ede87ef1ba8ce343dcddaa84a9605baf,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
74875d0f0a46dfc8bd5019539b8061997ed10d1a9b5fb582d9a945169f1d28b6,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8e04d69daf51ddaaa8d074b9826050163067c1c615f06c641face3d188ae859e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
a1e693f351ee2c1430cacf3acf281a1c6d8dfcd6545ea17f512b2ec3bb189d9d,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
5b92b9a653ed04efc86715be9aa4cc71725516d6947fb64a63a949802c9f5785,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
55623e0453c67567e9e7b659e80751ad86164bf7f34fee5d2e202eb2db1d670e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
c55d710912a7280c2e2a5557afe6a542a7b2bded8c5fc89303de32e38a1abf54,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
d1b1c4094fcce03c124152879fff42bf2a227e7219b6c1e6f8b91e1c0dc941ec,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ebd260fbc9188f032d927abeb7ffe4f99b65b2cc4b9e1bbda90c74d64bbb069f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
8cce5994fc5088b639ae6675e98b0549675218c99f004840b6b63d3478c51d9e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
c18fcb649d3eb4049ad292a4de0d3a67d29f5721d60d25fcef85b593947e9282,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
02606754728249c2f02267ecc808904390221360da77fdeab677a93df70de85d,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
81608ce8cb1671d9caf960ed81036e49723c59d439c5e218a6d8c3414fb92234,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
5d057305e339bd8ecddea29efdd418a8c12ac49701feea0375f5201f04f90a5c,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
3651f20d4df07beedb86b44d680fac81c297251f38a70836b88d04065ff2307a,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
5e200e3e845b723295a7ab809653629e8b28ffdb5786870efa809ba9b8858bab,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
64075cee3ab304e2570e213874cbd14370f3d3d7ef70c328fa77e0d377d04b6e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
3bf5b8416b769f6c7eb425e425720862b7c156b1dd1b9868fc6c471884f012df,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
9fb0196adbb0c987781b30bed206810c64fb2a904c4dda588e26a10a016c31ad,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
3f9dc27f32958d3d7245e618694147ebd384b6df27dc0186fc7530ff9cd5dee1,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
44c032c51f6cfba71bf56799251e18ba2fd9e3bc00171d34e8ff4eec4bfca6c4,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
1ac3a293824bb5bd2a5643025aaafa6b1eab017da06e9c0519e72f29329c9180,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
373fb98a34c6c505580a2498d47a91c2fd2a5a3e2832cc3fa5a4ac92aa37f668,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8b44a16e48b405063b3693317e5f03156850862e8e75e55343244518a973064f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
fcc6b98933e84784238e3c6774e68dc1e19af1aa9341e4c2e9129d6148d591db,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
b235c5740b93a42336b0c38a5079482db4df5b3bc5a930fe005cb5804a01ac4c,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
27bcc1792a12d8555790e9441e903f8497085982b4e2094897657979833fabfe,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ff27a805c0dd092766893bdf52ec50ea971ef57dbc878c8731c5a135f9c0050a,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
7d8662b062a0b811b1bc4038ef82e080a717ede9b397bc8f06f54e6d62d1bdaa,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b38c0167bd7a727a1b973f441481425ff963768a3d41452d071879a8e911aee1,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
20a4fb49af4ab8e356097d0c7d837df570b490d22012dd1bb12144c2176a3b68,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
fb1772c74d9be31f6bff78887b3444cb22c3302345abcad44325775230f0fd3a,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
2e7f816bdf7190bac04c8535094bf967c9d2e9e3b06b61d5bd044f0f5d3db42c,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
881417f33cd31c2777f8777799985639173a66033c30697ffe6843910807192d,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
e00f68ae4f66e299daecbe4762fb12dadc505e036fa1f084094ec33baecb5a0d,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
c814843646faa1e7eda68cf831c016d52c5c097575fdaa991b543670df1db650,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
873e277cc4bdbc35894c9465871be75e488b26f73d914a92482d1b53e5623247,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
7a7564bd6a4b17b3125083a9a289cc9ac9cd3ff1e79176a0ea9e1f077ce88d8e,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
76abc52573473b686621b525262015544e55eea1ed9a4f6f5bd67c99377ca91b,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
aa079431b0a104d8f78781218a1a8c7f0e660dadb4b7030d16ea91a4e0a8e379,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e1938fdb96309eff7a45212adceba7be01fc248489a4f8638d5ebf54b938d3f7,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
33c43b2afc504952aeaa733fbfdc42198f1dbdb26d5a8b023c85791917d2959b,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
869d64f4a1045eca74fa6b67146cab2583cfc23d44d527142aac7a6436c82c83,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b4e95056a6b502f19355530980f6fe73f5e9ef154d7555bfb0923d4d6cfffedf,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
af31c0dfdfa12c20902cb0e55b2eaa006c3cbf670a121c1bc2a3e98ca1861638,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
9fcc8cdc568f529bcb6ccf953d137eeaa43bce503af3e7ae29c513316f9fc8fa,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
1df5a7969683496772e809cf5d7e542c6b6b23fa133572481a81bd0bdcf196a5,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
1bde465781a2fb82201ee9300f147403a0a2ba7f958306daff4b5d2cac4ddd98,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
b68a5552da2e41f196c505b02ce957695072d5461468ae5323a56ac34f760c78,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
5e66867eed428e1fa0db2fd0b734129dfbe0c0b6bda079783799a132c150a76f,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
75099a7ae3cb53ee6ef6ac867bed62534d4852009bf7221df0d1271f3f6a5bc0,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
8d1f0d390f46562b7f4d00dceedf6b405377c7d34555fbb97b62fb9a67a61472,2020-07,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
